COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
ConcurrentHashMap,10658087,1,2000,18000,20000
ConcurrentHashMap,6074958,2,2000,18000,20000
ConcurrentHashMap,16741729,3,2000,18000,20000
ConcurrentHashMap,12015540,4,2000,18000,20000
ConcurrentHashMap,12312813,5,2000,18000,20000
ConcurrentHashMap,6996084,6,2000,18000,20000
ConcurrentHashMap,22769970,7,2000,18000,20000
ConcurrentHashMap,13009520,8,2000,18000,20000
ConcurrentHashMap,27095271,9,2000,18000,20000
ConcurrentHashMap,8527939,10,2000,18000,20000
ConcurrentHashMap,9067779,11,2000,18000,20000
ConcurrentHashMap,45243083,12,2000,18000,20000
ConcurrentHashMap,9740764,13,2000,18000,20000
ConcurrentHashMap,13132947,14,2000,18000,20000
ConcurrentHashMap,15320146,15,2000,18000,20000
ConcurrentHashMap,12714153,16,2000,18000,20000
ConcurrentHashMap,12471638,17,2000,18000,20000
ConcurrentHashMap,17112867,18,2000,18000,20000
ConcurrentHashMap,15546184,19,2000,18000,20000
ConcurrentHashMap,19747612,20,2000,18000,20000
ConcurrentHashMap,17095245,21,2000,18000,20000
ConcurrentHashMap,21013619,22,2000,18000,20000
ConcurrentHashMap,21551514,23,2000,18000,20000
ConcurrentHashMap,18776269,24,2000,18000,20000
ConcurrentHashMap,21923938,25,2000,18000,20000
ConcurrentHashMap,21873249,26,2000,18000,20000
ConcurrentHashMap,26892950,27,2000,18000,20000
ConcurrentHashMap,24301708,28,2000,18000,20000
ConcurrentHashMap,22645704,29,2000,18000,20000
ConcurrentHashMap,26171947,30,2000,18000,20000
ConcurrentHashMap,27545533,31,2000,18000,20000
ConcurrentHashMap,23976351,32,2000,18000,20000
ConcurrentHashMap,25172322,33,2000,18000,20000
ConcurrentHashMap,30498135,34,2000,18000,20000
ConcurrentHashMap,30354059,35,2000,18000,20000
ConcurrentHashMap,32831174,36,2000,18000,20000
ConcurrentHashMap,30201113,37,2000,18000,20000
ConcurrentHashMap,34397486,38,2000,18000,20000
ConcurrentHashMap,30833815,39,2000,18000,20000
ConcurrentHashMap,29207282,40,2000,18000,20000
ConcurrentHashMap,33429406,41,2000,18000,20000
ConcurrentHashMap,31531497,42,2000,18000,20000
ConcurrentHashMap,34557724,43,2000,18000,20000
ConcurrentHashMap,34754279,44,2000,18000,20000
ConcurrentHashMap,41822084,45,2000,18000,20000
ConcurrentHashMap,33195987,46,2000,18000,20000
ConcurrentHashMap,36030473,47,2000,18000,20000
ConcurrentHashMap,39606442,48,2000,18000,20000
ConcurrentHashMap,37952148,49,2000,18000,20000
ConcurrentHashMap,37503608,50,2000,18000,20000
ConcurrentHashMap,49317236,51,2000,18000,20000
ConcurrentHashMap,37302520,52,2000,18000,20000
ConcurrentHashMap,48703935,53,2000,18000,20000
ConcurrentHashMap,41987597,54,2000,18000,20000
ConcurrentHashMap,42510708,55,2000,18000,20000
ConcurrentHashMap,43095575,56,2000,18000,20000
ConcurrentHashMap,45192506,57,2000,18000,20000
ConcurrentHashMap,44788707,58,2000,18000,20000
ConcurrentHashMap,44518454,59,2000,18000,20000
ConcurrentHashMap,46244272,60,2000,18000,20000
SynchronizedMap,8330138,1,2000,18000,20000
SynchronizedMap,16007639,2,2000,18000,20000
SynchronizedMap,11048136,3,2000,18000,20000
SynchronizedMap,12005418,4,2000,18000,20000
SynchronizedMap,8494966,5,2000,18000,20000
SynchronizedMap,11510129,6,2000,18000,20000
SynchronizedMap,10533773,7,2000,18000,20000
SynchronizedMap,10461089,8,2000,18000,20000
SynchronizedMap,13466577,9,2000,18000,20000
SynchronizedMap,26486619,10,2000,18000,20000
SynchronizedMap,15163044,11,2000,18000,20000
SynchronizedMap,22299431,12,2000,18000,20000
SynchronizedMap,16603814,13,2000,18000,20000
SynchronizedMap,21857937,14,2000,18000,20000
SynchronizedMap,19709185,15,2000,18000,20000
SynchronizedMap,24196820,16,2000,18000,20000
SynchronizedMap,21908747,17,2000,18000,20000
SynchronizedMap,24114854,18,2000,18000,20000
SynchronizedMap,29105128,19,2000,18000,20000
SynchronizedMap,32053592,20,2000,18000,20000
SynchronizedMap,28187317,21,2000,18000,20000
SynchronizedMap,31756686,22,2000,18000,20000
SynchronizedMap,29834765,23,2000,18000,20000
SynchronizedMap,30257886,24,2000,18000,20000
SynchronizedMap,34697775,25,2000,18000,20000
SynchronizedMap,33424691,26,2000,18000,20000
SynchronizedMap,36618419,27,2000,18000,20000
SynchronizedMap,38259381,28,2000,18000,20000
SynchronizedMap,42435938,29,2000,18000,20000
SynchronizedMap,42047596,30,2000,18000,20000
SynchronizedMap,40029411,31,2000,18000,20000
SynchronizedMap,42485417,32,2000,18000,20000
SynchronizedMap,41668509,33,2000,18000,20000
SynchronizedMap,47013855,34,2000,18000,20000
SynchronizedMap,47613810,35,2000,18000,20000
SynchronizedMap,46237965,36,2000,18000,20000
SynchronizedMap,52011257,37,2000,18000,20000
SynchronizedMap,55131998,38,2000,18000,20000
SynchronizedMap,51775825,39,2000,18000,20000
SynchronizedMap,55130280,40,2000,18000,20000
SynchronizedMap,53104512,41,2000,18000,20000
SynchronizedMap,55814556,42,2000,18000,20000
SynchronizedMap,58075639,43,2000,18000,20000
SynchronizedMap,61808334,44,2000,18000,20000
SynchronizedMap,61276978,45,2000,18000,20000
SynchronizedMap,66099506,46,2000,18000,20000
SynchronizedMap,63027594,47,2000,18000,20000
SynchronizedMap,63836350,48,2000,18000,20000
SynchronizedMap,64618527,49,2000,18000,20000
SynchronizedMap,70356733,50,2000,18000,20000
SynchronizedMap,67757964,51,2000,18000,20000
SynchronizedMap,70380057,52,2000,18000,20000
SynchronizedMap,68214602,53,2000,18000,20000
SynchronizedMap,68010883,54,2000,18000,20000
SynchronizedMap,76218615,55,2000,18000,20000
SynchronizedMap,71822053,56,2000,18000,20000
SynchronizedMap,74642837,57,2000,18000,20000
SynchronizedMap,79993940,58,2000,18000,20000
SynchronizedMap,75160715,59,2000,18000,20000
SynchronizedMap,76075340,60,2000,18000,20000
ConcurrentHashMap,26927587,1,20000,180000,200000
ConcurrentHashMap,45809776,2,20000,180000,200000
ConcurrentHashMap,47667374,3,20000,180000,200000
ConcurrentHashMap,32441652,4,20000,180000,200000
ConcurrentHashMap,35550008,5,20000,180000,200000
ConcurrentHashMap,44005081,6,20000,180000,200000
ConcurrentHashMap,46984272,7,20000,180000,200000
ConcurrentHashMap,59037196,8,20000,180000,200000
ConcurrentHashMap,64371029,9,20000,180000,200000
ConcurrentHashMap,75031935,10,20000,180000,200000
ConcurrentHashMap,76924256,11,20000,180000,200000
ConcurrentHashMap,83559951,12,20000,180000,200000
ConcurrentHashMap,93445727,13,20000,180000,200000
ConcurrentHashMap,98801873,14,20000,180000,200000
ConcurrentHashMap,104300043,15,20000,180000,200000
ConcurrentHashMap,115636659,16,20000,180000,200000
ConcurrentHashMap,115540746,17,20000,180000,200000
ConcurrentHashMap,131907654,18,20000,180000,200000
ConcurrentHashMap,130062868,19,20000,180000,200000
ConcurrentHashMap,137011775,20,20000,180000,200000
ConcurrentHashMap,156127604,21,20000,180000,200000
ConcurrentHashMap,166378446,22,20000,180000,200000
ConcurrentHashMap,165144077,23,20000,180000,200000
ConcurrentHashMap,165895990,24,20000,180000,200000
ConcurrentHashMap,204916791,25,20000,180000,200000
ConcurrentHashMap,202949611,26,20000,180000,200000
ConcurrentHashMap,191953151,27,20000,180000,200000
ConcurrentHashMap,204713651,28,20000,180000,200000
ConcurrentHashMap,202297469,29,20000,180000,200000
ConcurrentHashMap,207546212,30,20000,180000,200000
ConcurrentHashMap,217970838,31,20000,180000,200000
ConcurrentHashMap,224251799,32,20000,180000,200000
ConcurrentHashMap,233229405,33,20000,180000,200000
ConcurrentHashMap,238738049,34,20000,180000,200000
ConcurrentHashMap,235753495,35,20000,180000,200000
ConcurrentHashMap,260591742,36,20000,180000,200000
ConcurrentHashMap,258618185,37,20000,180000,200000
ConcurrentHashMap,256258583,38,20000,180000,200000
ConcurrentHashMap,260119512,39,20000,180000,200000
ConcurrentHashMap,280983060,40,20000,180000,200000
ConcurrentHashMap,291301833,41,20000,180000,200000
ConcurrentHashMap,300937498,42,20000,180000,200000
ConcurrentHashMap,313239857,43,20000,180000,200000
ConcurrentHashMap,310623430,44,20000,180000,200000
ConcurrentHashMap,306035421,45,20000,180000,200000
ConcurrentHashMap,325274113,46,20000,180000,200000
ConcurrentHashMap,318700455,47,20000,180000,200000
ConcurrentHashMap,352391960,48,20000,180000,200000
ConcurrentHashMap,351631409,49,20000,180000,200000
ConcurrentHashMap,352973549,50,20000,180000,200000
ConcurrentHashMap,367888690,51,20000,180000,200000
ConcurrentHashMap,371566943,52,20000,180000,200000
ConcurrentHashMap,376178793,53,20000,180000,200000
ConcurrentHashMap,387928770,54,20000,180000,200000
ConcurrentHashMap,381671850,55,20000,180000,200000
ConcurrentHashMap,388194076,56,20000,180000,200000
ConcurrentHashMap,400455288,57,20000,180000,200000
ConcurrentHashMap,425151151,58,20000,180000,200000
ConcurrentHashMap,407290183,59,20000,180000,200000
ConcurrentHashMap,417343165,60,20000,180000,200000
SynchronizedMap,26317778,1,20000,180000,200000
SynchronizedMap,72498390,2,20000,180000,200000
SynchronizedMap,54074693,3,20000,180000,200000
SynchronizedMap,59440971,4,20000,180000,200000
SynchronizedMap,58169687,5,20000,180000,200000
SynchronizedMap,83407824,6,20000,180000,200000
SynchronizedMap,87862394,7,20000,180000,200000
SynchronizedMap,99618411,8,20000,180000,200000
SynchronizedMap,110494462,9,20000,180000,200000
SynchronizedMap,112878743,10,20000,180000,200000
SynchronizedMap,133268859,11,20000,180000,200000
SynchronizedMap,145696442,12,20000,180000,200000
SynchronizedMap,155461756,13,20000,180000,200000
SynchronizedMap,175141751,14,20000,180000,200000
SynchronizedMap,173286587,15,20000,180000,200000
SynchronizedMap,194321822,16,20000,180000,200000
SynchronizedMap,209882465,17,20000,180000,200000
