language,max,mean,n
java,614,614,1
java,614,614,6
java,614,614,11
java,614,614,16
java,614,614,21
java,921,921,26
java,614,614,31
java,614,614,36
java,614,614,41
java,921,893,46
java,921,893,51
java,921,893,56
java,921,893,61
java,921,893,66
java,921,893,71
java,921,893,76
java,921,893,81
java,614,614,86
java,921,921,91
java,921,893,96
java,921,893,101
java,921,893,106
java,921,893,111
java,921,893,116
java,921,893,121
java,921,893,126
java,921,893,131
java,921,921,136
java,921,893,141
java,921,893,146
java,921,893,151
java,921,893,156
java,921,893,161
java,921,893,166
java,921,893,171
java,921,893,176
java,921,921,181
java,921,893,186
java,921,893,191
java,921,893,196
java,921,893,201
java,921,893,206
java,921,893,211
java,921,893,216
java,921,893,221
java,921,893,226
java,921,893,231
java,921,893,236
java,921,893,241
java,921,893,246
java,921,893,251
java,921,893,256
java,921,893,261
java,921,893,266
java,921,893,271
java,921,893,276
java,921,893,281
java,921,893,286
java,921,893,291
java,921,893,296
java,921,893,301
java,921,893,306
java,921,893,311
java,921,893,316
java,921,893,321
java,921,893,326
java,921,893,331
java,922,894,336
java,1229,1173,341
java,1229,1173,346
java,1229,1173,351
java,1229,1173,356
java,1229,1173,361
java,1229,1173,366
java,1229,1173,371
java,1229,1173,376
java,1229,1173,381
java,1229,1173,386
java,1229,1173,391
java,1229,1173,396
java,1229,1173,401
java,1229,1173,406
java,1229,1173,411
java,1229,1173,416
java,1229,1173,421
java,1229,1173,426
java,1229,1201,431
java,1229,1173,436
java,1229,1201,441
java,1229,1173,446
java,1229,1173,451
java,1229,1173,456
java,1229,1173,461
java,1229,1173,466
java,1229,1173,471
java,1229,1173,476
java,1229,1201,481
java,1229,1173,486
java,1229,1201,491
java,1229,1201,496
java,1229,1173,501
java,1229,1173,506
java,1229,1173,511
java,1229,1173,516
java,1229,1173,521
java,1229,1173,526
java,1229,1173,531
java,1229,1173,536
java,1229,1173,541
java,1229,1173,546
java,1229,1173,551
java,1229,1173,556
java,1229,1173,561
java,1229,1173,566
java,1229,1173,571
java,1229,1173,576
java,1229,1173,581
java,1229,1173,586
java,1229,1173,591
java,1229,1201,596
java,1229,1173,601
java,1229,1173,606
java,1229,1173,611
java,1229,1173,616
java,1229,1173,621
java,1229,1173,626
java,1229,1173,631
java,1229,1173,636
java,1229,1201,641
java,1229,1173,646
java,1229,1173,651
java,1229,1201,656
java,1229,1173,661
java,1229,1173,666
java,1229,1173,671
java,1229,1201,676
java,1229,1173,681
java,1229,1201,686
java,1229,1173,691
java,1229,1173,696
java,1229,1173,701
java,1229,1173,706
java,1229,1173,711
java,1229,1173,716
java,1229,1173,721
