threads,concTime
1,0.034799
2,0.17328
3,0.403642
4,0.609033
5,0.765227
6,0.91616
7,1.0591
8,1.23115
9,1.39137
10,1.52137
11,1.68779
12,1.83743
13,2.00227
14,2.15823
15,2.31531
16,2.47019
17,2.62235
18,2.77682
19,2.92643
20,3.08831
21,3.22498
22,3.37514
23,3.50383
24,3.69674
25,3.84933
26,4.00468
27,4.15693
28,4.33898
29,4.48334
30,4.64286
31,4.75031
32,4.87906
33,5.00084
34,5.2506
35,5.3888
36,5.55896
37,5.71005
38,5.88311
39,5.97935
40,6.13831
41,6.32303
42,6.46837
43,6.6426
44,6.80505
45,6.91901
46,7.06927
47,7.24017
48,7.4394
49,7.56259
50,7.72507
51,7.86605
52,8.00045
53,8.192
54,8.37105
55,8.46785
56,8.61291
57,8.72797
58,8.954
59,9.107
60,9.19516
61,9.39905
62,9.53969
63,9.71833
64,9.83297
65,9.98066
66,10.1845
67,10.3488
68,10.4413
69,10.6158
70,10.7966
71,10.9644
72,11.1161
73,11.2366
74,11.4137
75,11.5895
76,11.7235
77,11.8822
78,12.0205
79,12.1903
80,12.3055
81,12.4884
82,12.6436
83,12.7465
84,12.833
85,13.0997
86,13.2519
87,13.4097
88,13.5571
89,13.7495
90,13.8622
91,13.9891
92,14.2009
93,14.3675
94,14.5233
95,14.6929
96,14.8167
97,14.9831
98,15.1109
99,15.2925
100,15.3924
