threads,seqTime
1,0.035681
2,0.054826
3,0.082146
4,0.107548
5,0.134674
6,0.160647
7,0.189315
8,0.216176
9,0.244686
10,0.290758
11,0.306322
12,0.321454
13,0.347354
14,0.373305
15,0.410222
16,0.428303
17,0.456466
18,0.480937
19,0.510779
20,0.534152
21,0.56264
22,0.587064
23,0.61937
24,0.642683
25,0.664155
26,0.694099
27,0.719752
28,0.750986
29,0.78108
30,0.831748
31,0.82246
32,0.85814
33,0.881326
34,0.906027
35,0.935716
36,0.960008
37,0.98908
38,1.01531
39,1.04168
40,1.06661
41,1.12256
42,1.12023
43,1.14492
44,1.17082
45,1.20052
46,1.2331
47,1.25488
48,1.277
49,1.33682
50,1.32939
51,1.35757
52,1.38821
53,1.41045
54,1.4397
55,1.47658
56,1.49338
57,1.5598
58,1.55048
59,1.57616
60,1.59742
61,1.6274
62,1.6513
63,1.74626
64,1.70791
65,1.73844
66,1.76891
67,1.78548
68,1.80979
69,1.89526
70,1.87225
71,1.90462
72,1.92492
73,1.95623
74,2.01612
75,2.03877
76,2.02344
77,2.05415
78,2.088
79,2.12236
80,2.15028
81,2.16206
82,2.18934
83,2.20506
84,2.27421
85,2.26995
86,2.29957
87,2.323
88,2.34794
89,2.41473
90,2.40466
91,2.46061
92,2.45728
93,2.52407
94,2.50945
95,2.52812
96,2.55828
97,2.62189
98,2.60548
99,2.67242
100,2.68952
