COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
ConcurrentHashMap,10740227,1,10000,10000,20000
ConcurrentHashMap,7687711,2,10000,10000,20000
ConcurrentHashMap,7824962,3,10000,10000,20000
ConcurrentHashMap,32907415,4,10000,10000,20000
ConcurrentHashMap,9118484,5,10000,10000,20000
ConcurrentHashMap,9171581,6,10000,10000,20000
ConcurrentHashMap,8038948,7,10000,10000,20000
ConcurrentHashMap,4381928,8,10000,10000,20000
ConcurrentHashMap,5042670,9,10000,10000,20000
ConcurrentHashMap,20024188,10,10000,10000,20000
ConcurrentHashMap,5833570,11,10000,10000,20000
ConcurrentHashMap,37406058,12,10000,10000,20000
ConcurrentHashMap,36820768,13,10000,10000,20000
ConcurrentHashMap,10924014,14,10000,10000,20000
ConcurrentHashMap,6782781,15,10000,10000,20000
ConcurrentHashMap,10126218,16,10000,10000,20000
ConcurrentHashMap,8889493,17,10000,10000,20000
ConcurrentHashMap,9013460,18,10000,10000,20000
ConcurrentHashMap,11555596,19,10000,10000,20000
ConcurrentHashMap,9625927,20,10000,10000,20000
ConcurrentHashMap,10775461,21,10000,10000,20000
ConcurrentHashMap,13458041,22,10000,10000,20000
ConcurrentHashMap,12965767,23,10000,10000,20000
ConcurrentHashMap,12244234,24,10000,10000,20000
ConcurrentHashMap,16877213,25,10000,10000,20000
ConcurrentHashMap,13247309,26,10000,10000,20000
ConcurrentHashMap,14875933,27,10000,10000,20000
ConcurrentHashMap,17736010,28,10000,10000,20000
ConcurrentHashMap,15846740,29,10000,10000,20000
ConcurrentHashMap,15972349,30,10000,10000,20000
ConcurrentHashMap,15677582,31,10000,10000,20000
ConcurrentHashMap,17712019,32,10000,10000,20000
ConcurrentHashMap,15119743,33,10000,10000,20000
ConcurrentHashMap,17749347,34,10000,10000,20000
ConcurrentHashMap,17228687,35,10000,10000,20000
ConcurrentHashMap,19364425,36,10000,10000,20000
ConcurrentHashMap,18592194,37,10000,10000,20000
ConcurrentHashMap,23251185,38,10000,10000,20000
ConcurrentHashMap,18063501,39,10000,10000,20000
ConcurrentHashMap,17154103,40,10000,10000,20000
ConcurrentHashMap,19334104,41,10000,10000,20000
ConcurrentHashMap,19706498,42,10000,10000,20000
ConcurrentHashMap,22914041,43,10000,10000,20000
ConcurrentHashMap,22810093,44,10000,10000,20000
ConcurrentHashMap,34650779,45,10000,10000,20000
ConcurrentHashMap,25924503,46,10000,10000,20000
ConcurrentHashMap,23736716,47,10000,10000,20000
ConcurrentHashMap,24312481,48,10000,10000,20000
ConcurrentHashMap,24896985,49,10000,10000,20000
ConcurrentHashMap,27149482,50,10000,10000,20000
ConcurrentHashMap,26087040,51,10000,10000,20000
ConcurrentHashMap,24025989,52,10000,10000,20000
ConcurrentHashMap,34332923,53,10000,10000,20000
ConcurrentHashMap,24690886,54,10000,10000,20000
ConcurrentHashMap,26391795,55,10000,10000,20000
ConcurrentHashMap,35349722,56,10000,10000,20000
ConcurrentHashMap,28503896,57,10000,10000,20000
ConcurrentHashMap,25625626,58,10000,10000,20000
ConcurrentHashMap,24619148,59,10000,10000,20000
ConcurrentHashMap,30323352,60,10000,10000,20000
SynchronizedMap,9761082,1,10000,10000,20000
SynchronizedMap,15070899,2,10000,10000,20000
SynchronizedMap,10754281,3,10000,10000,20000
SynchronizedMap,12827373,4,10000,10000,20000
SynchronizedMap,8566494,5,10000,10000,20000
SynchronizedMap,14631387,6,10000,10000,20000
SynchronizedMap,11224325,7,10000,10000,20000
SynchronizedMap,11141952,8,10000,10000,20000
SynchronizedMap,10060874,9,10000,10000,20000
SynchronizedMap,13166398,10,10000,10000,20000
SynchronizedMap,27287046,11,10000,10000,20000
SynchronizedMap,18427023,12,10000,10000,20000
SynchronizedMap,19026696,13,10000,10000,20000
SynchronizedMap,19803827,14,10000,10000,20000
SynchronizedMap,18129271,15,10000,10000,20000
SynchronizedMap,20309460,16,10000,10000,20000
SynchronizedMap,22258952,17,10000,10000,20000
SynchronizedMap,21004135,18,10000,10000,20000
SynchronizedMap,23418562,19,10000,10000,20000
SynchronizedMap,26046289,20,10000,10000,20000
SynchronizedMap,26484475,21,10000,10000,20000
SynchronizedMap,29260347,22,10000,10000,20000
SynchronizedMap,31986803,23,10000,10000,20000
SynchronizedMap,32207196,24,10000,10000,20000
SynchronizedMap,29188769,25,10000,10000,20000
SynchronizedMap,39715419,26,10000,10000,20000
SynchronizedMap,41423086,27,10000,10000,20000
SynchronizedMap,35431152,28,10000,10000,20000
SynchronizedMap,36266251,29,10000,10000,20000
SynchronizedMap,42062528,30,10000,10000,20000
SynchronizedMap,38411523,31,10000,10000,20000
SynchronizedMap,39419856,32,10000,10000,20000
SynchronizedMap,40768164,33,10000,10000,20000
SynchronizedMap,47431611,34,10000,10000,20000
SynchronizedMap,46633533,35,10000,10000,20000
SynchronizedMap,42978567,36,10000,10000,20000
SynchronizedMap,46903192,37,10000,10000,20000
SynchronizedMap,44519301,38,10000,10000,20000
SynchronizedMap,47198347,39,10000,10000,20000
SynchronizedMap,52548100,40,10000,10000,20000
SynchronizedMap,50257306,41,10000,10000,20000
SynchronizedMap,51350620,42,10000,10000,20000
SynchronizedMap,53181806,43,10000,10000,20000
SynchronizedMap,56265875,44,10000,10000,20000
SynchronizedMap,56696322,45,10000,10000,20000
SynchronizedMap,58664314,46,10000,10000,20000
SynchronizedMap,57493827,47,10000,10000,20000
SynchronizedMap,57268797,48,10000,10000,20000
SynchronizedMap,59632343,49,10000,10000,20000
SynchronizedMap,56821211,50,10000,10000,20000
SynchronizedMap,61159772,51,10000,10000,20000
SynchronizedMap,64294991,52,10000,10000,20000
SynchronizedMap,63004735,53,10000,10000,20000
SynchronizedMap,61949930,54,10000,10000,20000
SynchronizedMap,69856481,55,10000,10000,20000
SynchronizedMap,66894309,56,10000,10000,20000
SynchronizedMap,68029471,57,10000,10000,20000
SynchronizedMap,70139714,58,10000,10000,20000
SynchronizedMap,72760979,59,10000,10000,20000
SynchronizedMap,74597631,60,10000,10000,20000
ConcurrentHashMap,25941214,1,100000,100000,200000
ConcurrentHashMap,39641396,2,100000,100000,200000
ConcurrentHashMap,40237305,3,100000,100000,200000
ConcurrentHashMap,17634640,4,100000,100000,200000
ConcurrentHashMap,22549573,5,100000,100000,200000
ConcurrentHashMap,29151571,6,100000,100000,200000
ConcurrentHashMap,30627392,7,100000,100000,200000
ConcurrentHashMap,70734577,8,100000,100000,200000
ConcurrentHashMap,45200786,9,100000,100000,200000
ConcurrentHashMap,56659980,10,100000,100000,200000
ConcurrentHashMap,50172916,11,100000,100000,200000
ConcurrentHashMap,59968402,12,100000,100000,200000
ConcurrentHashMap,62420759,13,100000,100000,200000
ConcurrentHashMap,55837683,14,100000,100000,200000
ConcurrentHashMap,67643538,15,100000,100000,200000
ConcurrentHashMap,77187233,16,100000,100000,200000
ConcurrentHashMap,70472651,17,100000,100000,200000
ConcurrentHashMap,73401723,18,100000,100000,200000
ConcurrentHashMap,82808926,19,100000,100000,200000
ConcurrentHashMap,85722497,20,100000,100000,200000
ConcurrentHashMap,90331767,21,100000,100000,200000
ConcurrentHashMap,90937068,22,100000,100000,200000
ConcurrentHashMap,95904209,23,100000,100000,200000
ConcurrentHashMap,100086458,24,100000,100000,200000
ConcurrentHashMap,108758960,25,100000,100000,200000
ConcurrentHashMap,105989987,26,100000,100000,200000
ConcurrentHashMap,111029333,27,100000,100000,200000
ConcurrentHashMap,112032539,28,100000,100000,200000
ConcurrentHashMap,117039781,29,100000,100000,200000
ConcurrentHashMap,114137196,30,100000,100000,200000
ConcurrentHashMap,126712241,31,100000,100000,200000
ConcurrentHashMap,134361485,32,100000,100000,200000
ConcurrentHashMap,136024855,33,100000,100000,200000
ConcurrentHashMap,134513181,34,100000,100000,200000
ConcurrentHashMap,133789468,35,100000,100000,200000
ConcurrentHashMap,144631757,36,100000,100000,200000
ConcurrentHashMap,146290592,37,100000,100000,200000
ConcurrentHashMap,153566598,38,100000,100000,200000
ConcurrentHashMap,154288540,39,100000,100000,200000
ConcurrentHashMap,152184255,40,100000,100000,200000
ConcurrentHashMap,159935156,41,100000,100000,200000
ConcurrentHashMap,157946127,42,100000,100000,200000
ConcurrentHashMap,174102632,43,100000,100000,200000
ConcurrentHashMap,173555902,44,100000,100000,200000
ConcurrentHashMap,181342309,45,100000,100000,200000
ConcurrentHashMap,185840664,46,100000,100000,200000
ConcurrentHashMap,173725671,47,100000,100000,200000
ConcurrentHashMap,173642957,48,100000,100000,200000
ConcurrentHashMap,194525677,49,100000,100000,200000
ConcurrentHashMap,194019453,50,100000,100000,200000
ConcurrentHashMap,204252391,51,100000,100000,200000
ConcurrentHashMap,212505495,52,100000,100000,200000
ConcurrentHashMap,213657890,53,100000,100000,200000
ConcurrentHashMap,210500589,54,100000,100000,200000
ConcurrentHashMap,220508609,55,100000,100000,200000
ConcurrentHashMap,219666655,56,100000,100000,200000
ConcurrentHashMap,223502257,57,100000,100000,200000
ConcurrentHashMap,224344719,58,100000,100000,200000
ConcurrentHashMap,246538914,59,100000,100000,200000
ConcurrentHashMap,235389132,60,100000,100000,200000
SynchronizedMap,31782736,1,100000,100000,200000
SynchronizedMap,60979338,2,100000,100000,200000
SynchronizedMap,33137181,3,100000,100000,200000
SynchronizedMap,66875258,4,100000,100000,200000
SynchronizedMap,63817552,5,100000,100000,200000
SynchronizedMap,77464644,6,100000,100000,200000
SynchronizedMap,89752761,7,100000,100000,200000
SynchronizedMap,108060881,8,100000,100000,200000
SynchronizedMap,114704063,9,100000,100000,200000
SynchronizedMap,130259583,10,100000,100000,200000
SynchronizedMap,140742511,11,100000,100000,200000
SynchronizedMap,148173157,12,100000,100000,200000
SynchronizedMap,163871311,13,100000,100000,200000
SynchronizedMap,168026757,14,100000,100000,200000
SynchronizedMap,183835071,15,100000,100000,200000
SynchronizedMap,195835188,16,100000,100000,200000
SynchronizedMap,212429977,17,100000,100000,200000
SynchronizedMap,237315463,18,100000,100000,200000
SynchronizedMap,227927384,19,100000,100000,200000
SynchronizedMap,224322633,20,100000,100000,200000
SynchronizedMap,246463009,21,100000,100000,200000
SynchronizedMap,291512396,22,100000,100000,200000
SynchronizedMap,292414227,23,100000,100000,200000
SynchronizedMap,294827868,24,100000,100000,200000
SynchronizedMap,312551266,25,100000,100000,200000
SynchronizedMap,312582143,26,100000,100000,200000
SynchronizedMap,344086397,27,100000,100000,200000
SynchronizedMap,321280023,28,100000,100000,200000
SynchronizedMap,354308722,29,100000,100000,200000
SynchronizedMap,343582426,30,100000,100000,200000
SynchronizedMap,368843543,31,100000,100000,200000
SynchronizedMap,382706242,32,100000,100000,200000
SynchronizedMap,390546999,33,100000,100000,200000
SynchronizedMap,386023181,34,100000,100000,200000
SynchronizedMap,445087201,35,100000,100000,200000
SynchronizedMap,424008431,36,100000,100000,200000
SynchronizedMap,447366724,37,100000,100000,200000
SynchronizedMap,464882422,38,100000,100000,200000
SynchronizedMap,493433201,39,100000,100000,200000
SynchronizedMap,479940716,40,100000,100000,200000
SynchronizedMap,511079405,41,100000,100000,200000
SynchronizedMap,505049687,42,100000,100000,200000
SynchronizedMap,536173266,43,100000,100000,200000
SynchronizedMap,543931766,44,100000,100000,200000
SynchronizedMap,538433278,45,100000,100000,200000
SynchronizedMap,555766965,46,100000,100000,200000
SynchronizedMap,571351108,47,100000,100000,200000
SynchronizedMap,602068779,48,100000,100000,200000
SynchronizedMap,558272138,49,100000,100000,200000
SynchronizedMap,605274954,50,100000,100000,200000
SynchronizedMap,618983890,51,100000,100000,200000
SynchronizedMap,635447429,52,100000,100000,200000
SynchronizedMap,644527233,53,100000,100000,200000
SynchronizedMap,664248732,54,100000,100000,200000
SynchronizedMap,674360617,55,100000,100000,200000
SynchronizedMap,706730080,56,100000,100000,200000
SynchronizedMap,706346447,57,100000,100000,200000
SynchronizedMap,705001813,58,100000,100000,200000
SynchronizedMap,716544632,59,100000,100000,200000
SynchronizedMap,716817776,60,100000,100000,200000
ConcurrentHashMap,42565075,1,500000,500000,1000000
ConcurrentHashMap,93251674,2,500000,500000,1000000
ConcurrentHashMap,65136040,3,500000,500000,1000000
ConcurrentHashMap,88573867,4,500000,500000,1000000
ConcurrentHashMap,133350833,5,500000,500000,1000000
ConcurrentHashMap,127352966,6,500000,500000,1000000
ConcurrentHashMap,159910170,7,500000,500000,1000000
ConcurrentHashMap,173139326,8,500000,500000,1000000
ConcurrentHashMap,197778819,9,500000,500000,1000000
ConcurrentHashMap,219167990,10,500000,500000,1000000
ConcurrentHashMap,211248324,11,500000,500000,1000000
ConcurrentHashMap,233439391,12,500000,500000,1000000
ConcurrentHashMap,251652239,13,500000,500000,1000000
ConcurrentHashMap,264442029,14,500000,500000,1000000
ConcurrentHashMap,284645133,15,500000,500000,1000000
ConcurrentHashMap,309337744,16,500000,500000,1000000
ConcurrentHashMap,335336619,17,500000,500000,1000000
ConcurrentHashMap,341472263,18,500000,500000,1000000
ConcurrentHashMap,371082168,19,500000,500000,1000000
ConcurrentHashMap,394436267,20,500000,500000,1000000
ConcurrentHashMap,410418752,21,500000,500000,1000000
ConcurrentHashMap,450410419,22,500000,500000,1000000
ConcurrentHashMap,459752336,23,500000,500000,1000000
ConcurrentHashMap,484990905,24,500000,500000,1000000
ConcurrentHashMap,467711270,25,500000,500000,1000000
ConcurrentHashMap,512552365,26,500000,500000,1000000
ConcurrentHashMap,513577580,27,500000,500000,1000000
ConcurrentHashMap,542618148,28,500000,500000,1000000
ConcurrentHashMap,560510186,29,500000,500000,1000000
ConcurrentHashMap,598496317,30,500000,500000,1000000
ConcurrentHashMap,612189347,31,500000,500000,1000000
ConcurrentHashMap,619755638,32,500000,500000,1000000
ConcurrentHashMap,665544913,33,500000,500000,1000000
ConcurrentHashMap,647712316,34,500000,500000,1000000
ConcurrentHashMap,692549208,35,500000,500000,1000000
ConcurrentHashMap,699683879,36,500000,500000,1000000
ConcurrentHashMap,708554706,37,500000,500000,1000000
ConcurrentHashMap,736773894,38,500000,500000,1000000
ConcurrentHashMap,758100265,39,500000,500000,1000000
ConcurrentHashMap,764564981,40,500000,500000,1000000
ConcurrentHashMap,805201533,41,500000,500000,1000000
ConcurrentHashMap,822098939,42,500000,500000,1000000
ConcurrentHashMap,852412137,43,500000,500000,1000000
ConcurrentHashMap,857997141,44,500000,500000,1000000
ConcurrentHashMap,857349805,45,500000,500000,1000000
ConcurrentHashMap,906084451,46,500000,500000,1000000
ConcurrentHashMap,889629777,47,500000,500000,1000000
ConcurrentHashMap,932863072,48,500000,500000,1000000
ConcurrentHashMap,1014112356,49,500000,500000,1000000
ConcurrentHashMap,1019698500,50,500000,500000,1000000
ConcurrentHashMap,1029543261,51,500000,500000,1000000
ConcurrentHashMap,1068384206,52,500000,500000,1000000
ConcurrentHashMap,1028923655,53,500000,500000,1000000
