COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,5532741,1,1000,1000,2000
CopyOnWriteArrayList,6204085,2,1000,1000,2000
CopyOnWriteArrayList,15814386,3,1000,1000,2000
CopyOnWriteArrayList,27260836,4,1000,1000,2000
CopyOnWriteArrayList,19807977,5,1000,1000,2000
CopyOnWriteArrayList,46561721,6,1000,1000,2000
CopyOnWriteArrayList,38838299,7,1000,1000,2000
CopyOnWriteArrayList,79691078,8,1000,1000,2000
CopyOnWriteArrayList,68644007,9,1000,1000,2000
CopyOnWriteArrayList,128825331,10,1000,1000,2000
CopyOnWriteArrayList,82686210,11,1000,1000,2000
CopyOnWriteArrayList,120344788,12,1000,1000,2000
CopyOnWriteArrayList,112141687,13,1000,1000,2000
CopyOnWriteArrayList,120381016,14,1000,1000,2000
CopyOnWriteArrayList,143154653,15,1000,1000,2000
CopyOnWriteArrayList,147580120,16,1000,1000,2000
CopyOnWriteArrayList,162682321,17,1000,1000,2000
CopyOnWriteArrayList,179064524,18,1000,1000,2000
CopyOnWriteArrayList,202382077,19,1000,1000,2000
CopyOnWriteArrayList,220878540,20,1000,1000,2000
CopyOnWriteArrayList,240662312,21,1000,1000,2000
CopyOnWriteArrayList,262677022,22,1000,1000,2000
CopyOnWriteArrayList,280439880,23,1000,1000,2000
CopyOnWriteArrayList,303152604,24,1000,1000,2000
CopyOnWriteArrayList,334884005,25,1000,1000,2000
CopyOnWriteArrayList,350232075,26,1000,1000,2000
CopyOnWriteArrayList,385154659,27,1000,1000,2000
CopyOnWriteArrayList,410205165,28,1000,1000,2000
CopyOnWriteArrayList,452037938,29,1000,1000,2000
CopyOnWriteArrayList,458903088,30,1000,1000,2000
CopyOnWriteArrayList,482459958,31,1000,1000,2000
CopyOnWriteArrayList,510048699,32,1000,1000,2000
CopyOnWriteArrayList,555137312,33,1000,1000,2000
CopyOnWriteArrayList,585394444,34,1000,1000,2000
CopyOnWriteArrayList,619220914,35,1000,1000,2000
CopyOnWriteArrayList,642419766,36,1000,1000,2000
CopyOnWriteArrayList,677397212,37,1000,1000,2000
CopyOnWriteArrayList,717027665,38,1000,1000,2000
CopyOnWriteArrayList,759941351,39,1000,1000,2000
CopyOnWriteArrayList,791887672,40,1000,1000,2000
CopyOnWriteArrayList,836619136,41,1000,1000,2000
CopyOnWriteArrayList,875753964,42,1000,1000,2000
CopyOnWriteArrayList,962616146,43,1000,1000,2000
CopyOnWriteArrayList,951744553,44,1000,1000,2000
CopyOnWriteArrayList,1000749765,45,1000,1000,2000
CopyOnWriteArrayList,1033484961,46,1000,1000,2000
CopyOnWriteArrayList,1083096622,47,1000,1000,2000
CopyOnWriteArrayList,1138490945,48,1000,1000,2000
CopyOnWriteArrayList,1189912556,49,1000,1000,2000
CopyOnWriteArrayList,1220548824,50,1000,1000,2000
CopyOnWriteArrayList,1293033060,51,1000,1000,2000
CopyOnWriteArrayList,1325956052,52,1000,1000,2000
CopyOnWriteArrayList,1421326731,53,1000,1000,2000
CopyOnWriteArrayList,1425381862,54,1000,1000,2000
CopyOnWriteArrayList,1488233112,55,1000,1000,2000
CopyOnWriteArrayList,1551295345,56,1000,1000,2000
CopyOnWriteArrayList,1604366734,57,1000,1000,2000
CopyOnWriteArrayList,1655580163,58,1000,1000,2000
CopyOnWriteArrayList,1732838985,59,1000,1000,2000
CopyOnWriteArrayList,1787555386,60,1000,1000,2000
SynchronizedList,3358642,1,1000,1000,2000
SynchronizedList,3051222,2,1000,1000,2000
SynchronizedList,3028212,3,1000,1000,2000
SynchronizedList,5072965,4,1000,1000,2000
SynchronizedList,2584557,5,1000,1000,2000
SynchronizedList,3800638,6,1000,1000,2000
SynchronizedList,4446092,7,1000,1000,2000
SynchronizedList,3713645,8,1000,1000,2000
SynchronizedList,4628569,9,1000,1000,2000
SynchronizedList,8065560,10,1000,1000,2000
SynchronizedList,5048275,11,1000,1000,2000
SynchronizedList,7907166,12,1000,1000,2000
SynchronizedList,3877612,13,1000,1000,2000
SynchronizedList,3632395,14,1000,1000,2000
SynchronizedList,11306346,15,1000,1000,2000
SynchronizedList,16148385,16,1000,1000,2000
SynchronizedList,15282225,17,1000,1000,2000
SynchronizedList,4104859,18,1000,1000,2000
SynchronizedList,8854269,19,1000,1000,2000
SynchronizedList,4747603,20,1000,1000,2000
SynchronizedList,4607341,21,1000,1000,2000
SynchronizedList,9147256,22,1000,1000,2000
SynchronizedList,6945770,23,1000,1000,2000
SynchronizedList,6953274,24,1000,1000,2000
SynchronizedList,9732139,25,1000,1000,2000
SynchronizedList,7163731,26,1000,1000,2000
SynchronizedList,10434600,27,1000,1000,2000
SynchronizedList,19044954,28,1000,1000,2000
SynchronizedList,10718864,29,1000,1000,2000
SynchronizedList,9401369,30,1000,1000,2000
SynchronizedList,6222542,31,1000,1000,2000
SynchronizedList,6075188,32,1000,1000,2000
SynchronizedList,8194296,33,1000,1000,2000
SynchronizedList,7035209,34,1000,1000,2000
SynchronizedList,10947809,35,1000,1000,2000
SynchronizedList,10240021,36,1000,1000,2000
SynchronizedList,7577393,37,1000,1000,2000
SynchronizedList,9389643,38,1000,1000,2000
SynchronizedList,8926436,39,1000,1000,2000
SynchronizedList,7763115,40,1000,1000,2000
SynchronizedList,8828765,41,1000,1000,2000
SynchronizedList,11443957,42,1000,1000,2000
SynchronizedList,7999578,43,1000,1000,2000
SynchronizedList,9047410,44,1000,1000,2000
SynchronizedList,10678844,45,1000,1000,2000
SynchronizedList,9704871,46,1000,1000,2000
SynchronizedList,11901578,47,1000,1000,2000
SynchronizedList,14345335,48,1000,1000,2000
SynchronizedList,10171874,49,1000,1000,2000
SynchronizedList,10187451,50,1000,1000,2000
SynchronizedList,11923262,51,1000,1000,2000
SynchronizedList,9703430,52,1000,1000,2000
SynchronizedList,10725256,53,1000,1000,2000
SynchronizedList,10993877,54,1000,1000,2000
